feature,windows_with_signal,dominant_sign_count,sign_stability,avg_abs_spearman,avg_spearman,2004_2010_n,2004_2010_spearman,2011_2016_n,2011_2016_spearman,2017_2021_n,2017_2021_spearman,2022_present_n,2022_present_spearman
payems_value_change_3m,4,4,1,0.321629,-0.321629,1693,-0.03646,1508,-0.260905,1258,-0.397109,1015,-0.592042
dfii10_value,4,4,1,0.315987,0.315987,1756,0.219972,1508,0.466827,1258,0.084305,1015,0.492844
fedfunds_value_change_3m,4,4,1,0.224297,-0.224297,1693,-0.010519,1508,-0.082801,1258,-0.330677,1015,-0.473191
rrpontsyd_value,4,4,1,0.201014,-0.201014,1755,-0.126537,1508,-0.091662,1258,-0.023548,1015,-0.562311
t10yie_value,4,4,1,0.189521,-0.189521,1756,-0.254621,1508,-0.105614,1258,-0.2673,1015,-0.130548
tnx_return_3m,4,4,1,0.170555,-0.170555,1693,-0.136088,1508,-0.057024,1258,-0.2004,1015,-0.28871
fedfunds_value_change_1m,4,4,1,0.167632,-0.167632,1735,-0.038432,1508,-0.045873,1258,-0.119132,1015,-0.467092
tnx_close_change_3m,4,4,1,0.162999,-0.162999,1693,-0.144021,1508,-0.066315,1258,-0.185713,1015,-0.255948
wti_crude_oil_return_3m,4,4,1,0.11709,-0.11709,1693,-0.046081,1508,-0.074347,1258,-0.220408,1015,-0.127523
tnx_return_1m,4,4,1,0.112137,-0.112137,1735,-0.142229,1508,-0.031583,1258,-0.127521,1015,-0.147213
t10yie_value_change_1m,4,4,1,0.104721,-0.104721,1735,-0.218598,1508,-0.010216,1258,-0.181197,1015,-0.008873
tnx_close_change_1m,4,4,1,0.099935,-0.099935,1735,-0.138626,1508,-0.025714,1258,-0.10095,1015,-0.13445
fedfunds_value,4,4,1,0.070814,0.070814,1756,0.021288,1508,0.029068,1258,0.081536,1015,0.151365
cpiaucsl_value_change_3m,4,3,0.75,0.213325,-0.164824,1693,-0.273164,1508,0.097003,1258,-0.190953,1015,-0.29218
silver_futures_return_3m,4,3,0.75,0.204507,-0.065043,1693,-0.114295,1508,-0.129489,1258,-0.295315,1015,0.278929
pcepi_value_change_3m,4,3,0.75,0.204473,-0.169129,1693,-0.265067,1508,0.070688,1258,-0.204657,1015,-0.27748
pcepi_value,4,3,0.75,0.198058,0.137231,1756,0.04122,1508,-0.121654,1258,0.018742,1015,0.610615
cpiaucsl_value,4,3,0.75,0.190649,0.128034,1756,0.015649,1508,-0.125229,1258,0.01205,1015,0.609668
payems_value_change_1m,4,3,0.75,0.190505,-0.189813,1735,0.001384,1508,-0.184359,1258,-0.081403,1015,-0.494875
m2sl_value_change_1m,4,3,0.75,0.189424,0.164821,1735,-0.049207,1508,0.223991,1258,0.113777,1015,0.370722
copper_futures_return_3m,4,3,0.75,0.170507,-0.070085,1693,-0.105982,1508,-0.170424,1258,-0.204778,1015,0.200844
t10yie_value_change_3m,4,3,0.75,0.155585,-0.116565,1693,-0.28015,1508,-0.036918,1258,-0.227233,1015,0.07804
t10y2y_value_change_3m,4,3,0.75,0.15244,0.112496,1693,0.095537,1508,-0.079888,1258,0.203628,1015,0.230709
m2sl_value_change_3m,4,3,0.75,0.134507,0.106303,1693,-0.056408,1508,0.094446,1258,0.060941,1015,0.326232
rrpontsyd_value_change_3m,4,3,0.75,0.12859,-0.090887,1692,-0.056396,1508,-0.042353,1258,0.075406,1015,-0.340206
silver_futures_return_1m,4,3,0.75,0.124366,-0.094626,1735,-0.12783,1508,-0.114749,1258,-0.195406,1015,0.059479
pcepi_value_change_1m,4,3,0.75,0.119579,-0.070269,1735,-0.195452,1508,0.09862,1258,-0.176738,1015,-0.007507
dxy_close_change_3m,4,3,0.75,0.117851,0.058947,1693,0.089145,1508,0.001257,1258,0.263195,1015,-0.117808
dfii10_value_change_3m,4,3,0.75,0.112958,-0.079736,1693,0.066444,1508,-0.029317,1258,-0.034302,1015,-0.321767
m2sl_value,4,3,0.75,0.112033,0.060352,1756,0.110519,1508,-0.103362,1258,0.023773,1015,0.210479
iau_return_3m,4,3,0.75,0.095522,-0.030257,1426,-0.098237,1508,-0.084098,1258,-0.069224,1015,0.13053
wti_crude_oil_return_1m,4,3,0.75,0.09267,-0.084631,1735,-0.076747,1508,-0.071736,1258,-0.206119,1015,0.016079
gold_futures_return_3m,4,3,0.75,0.088448,-0.021173,1693,-0.060136,1508,-0.084536,1258,-0.074571,1015,0.134549
