feature,rows,valid_rows,missing_rows,missing_rate,mean,median,std,min,max
gold_futures_return_1m,5600,5579,21,0.00375,0.010362,0.00757,0.049385,-0.208081,0.229659
gold_futures_return_3m,5600,5537,63,0.01125,0.031817,0.027856,0.081296,-0.240406,0.371826
gold_drawdown_from_252d_high,5600,5600,0,0,-0.075302,-0.061857,0.063074,-0.324787,0
dxy_return_1m,5600,5579,21,0.00375,0.000755,0.000431,0.021696,-0.091003,0.129695
dxy_return_3m,5600,5537,63,0.01125,0.002117,0.000845,0.038456,-0.118209,0.189814
dfii10_value,5600,5600,0,0,0.935327,0.85,1.000121,-1.19,3.15
tnx_return_1m,5600,5579,21,0.00375,0.005335,-0.00149,0.100063,-0.696472,0.47495
t10yie_value,5600,5600,0,0,2.110754,2.23,0.397817,0.04,3.02
vix_percentile_1y,5600,5349,251,0.044821,0.463369,0.448413,0.318035,0.003968,1
sp500_return_1m,5600,5579,21,0.00375,0.007756,0.013341,0.045123,-0.329668,0.251144
nasdaq_return_1m,5600,5579,21,0.00375,0.010435,0.016576,0.053998,-0.310277,0.247986
silver_futures_return_1m,5600,5579,21,0.00375,0.013754,0.006985,0.095687,-0.352766,0.632688
copper_futures_return_1m,5600,5579,21,0.00375,0.009316,0.007547,0.079066,-0.467493,0.465746
wti_crude_oil_return_1m,5600,5579,21,0.00375,0.01013,0.010542,0.130447,-2.49207,2.345654
fedfunds_value,5600,5600,0,0,1.809007,1,1.927459,0.05,5.33
rrpontsyd_value,5600,5599,1,0.000179,247.365405,4.645,565.647133,0,2553.716
central_bank_gold_reserves_top15_change_3m,5600,5537,63,0.01125,47.729051,43.919941,111.25658,-194.341557,731.506998
days_to_next_fomc,5600,5600,0,0,38.762679,35,26.79808,0,110
days_since_last_fomc,5600,5592,8,0.001429,39.236409,35,26.886077,0,110
sp500_return_3m,5600,5537,63,0.01125,0.023436,0.033335,0.073916,-0.417706,0.393519
nasdaq_return_3m,5600,5537,63,0.01125,0.032112,0.040906,0.091832,-0.454957,0.465816
