feature,bucket,bucket_label,n,feature_min,feature_max,feature_median,avg_gold_return_next_1m,avg_gold_return_next_3m,median_gold_return_next_3m,avg_gold_max_drawdown_next_3m,good_entry_rate_3m,bad_entry_rate_3m
gold_futures_return_1m,1,lowest,1115,-0.208081,-0.027564,-0.047116,0.01527,0.026799,0.020769,-0.04561,0.344292,0.236771
gold_futures_return_1m,2,q2,1116,-0.027544,-0.003264,-0.014483,0.008184,0.032498,0.02931,-0.041592,0.40414,0.233184
gold_futures_return_1m,3,q3,1116,-0.00325,0.020538,0.007564,0.010181,0.038426,0.033988,-0.041203,0.41779,0.200717
gold_futures_return_1m,4,q4,1116,0.020559,0.049831,0.033797,0.015405,0.038458,0.033842,-0.03698,0.408311,0.153226
gold_futures_return_1m,5,highest,1116,0.049855,0.229659,0.070485,0.003532,0.023874,0.018924,-0.055338,0.354128,0.302867
gold_futures_return_3m,1,lowest,1107,-0.240406,-0.036834,-0.065397,0.00816,0.018266,0.019132,-0.052879,0.317977,0.2972
gold_futures_return_3m,2,q2,1107,-0.036829,0.006948,-0.015109,0.008493,0.031248,0.030878,-0.043485,0.388587,0.258356
gold_futures_return_3m,3,q3,1108,0.006957,0.04726,0.027855,0.013991,0.038795,0.036792,-0.036463,0.43699,0.165162
gold_futures_return_3m,4,q4,1107,0.04729,0.095397,0.068841,0.0132,0.030775,0.025574,-0.038548,0.401647,0.146474
gold_futures_return_3m,5,highest,1108,0.095492,0.371826,0.140235,0.009133,0.044577,0.032585,-0.048105,0.400187,0.247292
gold_drawdown_from_252d_high,1,lowest,1120,-0.324787,-0.122395,-0.159151,0.018201,0.032101,0.029921,-0.045054,0.387534,0.230357
gold_drawdown_from_252d_high,2,q2,1120,-0.122357,-0.080299,-0.100605,-0.000127,0.000551,0.002044,-0.054392,0.219512,0.354781
gold_drawdown_from_252d_high,3,q3,1120,-0.080263,-0.046934,-0.061857,0.003008,0.02818,0.023373,-0.045639,0.35443,0.229464
gold_drawdown_from_252d_high,4,q4,1120,-0.04693,-0.018871,-0.033182,0.010411,0.048268,0.034079,-0.037105,0.444545,0.153571
gold_drawdown_from_252d_high,5,highest,1120,-0.018864,0,-0.004445,0.020317,0.049936,0.052365,-0.038746,0.516245,0.160714
dxy_return_1m,1,lowest,1115,-0.091003,-0.016236,-0.02546,0.00933,0.031535,0.028197,-0.043616,0.3835,0.218133
dxy_return_1m,2,q2,1116,-0.016224,-0.00473,-0.010252,0.013109,0.029173,0.026369,-0.042747,0.398728,0.233871
dxy_return_1m,3,q3,1116,-0.004716,0.005558,0.000429,0.011154,0.031474,0.026218,-0.043525,0.382883,0.218638
dxy_return_1m,4,q4,1116,0.005569,0.017584,0.011095,0.009568,0.035791,0.033777,-0.043633,0.405823,0.216846
dxy_return_1m,5,highest,1116,0.017605,0.129695,0.027892,0.009316,0.032314,0.024585,-0.047203,0.359021,0.239247
dxy_return_3m,1,lowest,1107,-0.118209,-0.029179,-0.046411,0.008059,0.031496,0.026425,-0.040747,0.387884,0.194219
dxy_return_3m,2,q2,1107,-0.029179,-0.007342,-0.016329,0.012366,0.038575,0.026047,-0.042747,0.404828,0.221519
dxy_return_3m,3,q3,1108,-0.007309,0.008758,0.000839,0.013454,0.026927,0.025312,-0.04433,0.367216,0.205776
dxy_return_3m,4,q4,1107,0.008769,0.031221,0.018058,0.011748,0.031722,0.032511,-0.042528,0.377635,0.226739
dxy_return_3m,5,highest,1108,0.031288,0.189814,0.052294,0.007342,0.034582,0.030594,-0.049124,0.40704,0.266245
dfii10_value,1,lowest,1120,-1.19,0.11,-0.61,-0.004051,-0.010343,-0.020765,-0.063746,0.21875,0.392857
dfii10_value,2,q2,1120,0.11,0.57,0.4,0.002973,0.005342,0.007665,-0.04532,0.21875,0.269643
dfii10_value,3,q3,1120,0.57,1.43,0.85,0.008615,0.030915,0.031499,-0.038056,0.396429,0.170536
dfii10_value,4,q4,1120,1.43,1.91,1.71,0.020832,0.055718,0.051551,-0.039819,0.50369,0.16875
dfii10_value,5,highest,1120,1.91,3.15,2.16,0.023684,0.079369,0.069048,-0.033977,0.593779,0.126899
tnx_return_1m,1,lowest,1115,-0.696472,-0.061103,-0.10012,0.01464,0.039728,0.033297,-0.042501,0.411131,0.202691
tnx_return_1m,2,q2,1116,-0.061046,-0.020197,-0.038618,0.010247,0.038776,0.03388,-0.04331,0.434664,0.230287
tnx_return_1m,3,q3,1116,-0.020136,0.018647,-0.001491,0.010804,0.033533,0.031267,-0.042088,0.405086,0.192825
tnx_return_1m,4,q4,1116,0.018917,0.072474,0.041803,0.013866,0.032912,0.028592,-0.043465,0.387511,0.219534
tnx_return_1m,5,highest,1116,0.072491,0.47495,0.122691,0.002925,0.015374,0.015402,-0.049357,0.291892,0.281362
t10yie_value,1,lowest,1120,0.04,1.79,1.58,0.014987,0.041194,0.040403,-0.041158,0.449107,0.194643
t10yie_value,2,q2,1120,1.79,2.13,1.96,0.003038,0.015696,0.016017,-0.043073,0.2625,0.235714
t10yie_value,3,q3,1120,2.13,2.29,2.23,0.010116,0.034363,0.025212,-0.043748,0.412455,0.230357
t10yie_value,4,q4,1120,2.29,2.4,2.34,0.020943,0.055887,0.049745,-0.034515,0.494393,0.142091
t10yie_value,5,highest,1120,2.4,3.02,2.51,0.002925,0.013031,0.00673,-0.058424,0.309205,0.325893
