feature,high_minus_low_avg_return_3m,high_minus_low_good_entry_rate_3m,high_minus_low_bad_entry_rate_3m,low_bucket_return_3m,high_bucket_return_3m,low_bad_entry_rate_3m,high_bad_entry_rate_3m
dfii10_value,0.089712,0.375029,-0.265958,-0.010343,0.079369,0.392857,0.126899
payems_value_change_3m,-0.068806,-0.330775,0.035666,0.075542,0.006736,0.24141,0.277076
fedfunds_value,0.060878,0.30625,-0.23125,0.008105,0.068983,0.326786,0.095536
payems_value_change_1m,-0.047288,-0.248128,0.017447,0.056709,0.009421,0.264811,0.282258
fedfunds_value_change_3m,-0.045297,-0.227872,-0.020962,0.076006,0.030709,0.225836,0.204874
tnx_close_change_3m,-0.035931,-0.185517,0.084713,0.061958,0.026027,0.138211,0.222924
rrpontsyd_value_change_3m,-0.03536,-0.184214,0.16778,0.051237,0.015877,0.099368,0.267148
fedfunds_value_change_1m,-0.034307,-0.156508,-0.035128,0.067644,0.033337,0.203587,0.168459
rrpontsyd_value_change_1m,-0.030668,-0.112006,0.11548,0.046213,0.015545,0.123767,0.239247
t10yie_value,-0.028163,-0.139902,0.13125,0.041194,0.013031,0.194643,0.325893
gld_return_3m,0.027876,0.093743,-0.063257,0.017487,0.045363,0.305738,0.242481
iau_return_3m,0.027663,0.088722,-0.064516,0.017208,0.044871,0.309298,0.244782
tnx_return_3m,-0.027538,-0.125853,0.102729,0.042258,0.01472,0.176152,0.278881
payems_value,0.026945,0.152838,-0.04453,0.042573,0.069518,0.171429,0.126899
gold_futures_return_3m,0.026311,0.08221,-0.049908,0.018266,0.044577,0.2972,0.247292
t10yie_value_change_3m,-0.026036,-0.115916,0.048539,0.043086,0.01705,0.217706,0.266245
t10y2y_value_change_3m,0.025001,0.119118,0.022363,0.018903,0.043904,0.222222,0.244585
t10yie_value_change_1m,-0.024763,-0.154796,0.023976,0.041822,0.017059,0.243049,0.267025
tnx_return_1m,-0.024354,-0.119239,0.078671,0.039728,0.015374,0.202691,0.281362
wti_crude_oil_return_3m,-0.022786,-0.078982,0.060524,0.048448,0.025662,0.180668,0.241192
wti_crude_oil_return_1m,-0.02149,-0.082571,0.03188,0.048625,0.027135,0.210952,0.242832
tnx_close_change_1m,-0.018058,-0.09087,0.030282,0.050482,0.032424,0.205381,0.235663
silver_futures_return_3m,0.018053,0.094603,-0.069137,0.025178,0.043231,0.301989,0.232852
gold_drawdown_from_252d_high,0.017835,0.128711,-0.069643,0.032101,0.049936,0.230357,0.160714
days_since_last_fomc,-0.017604,-0.133108,0.132988,0.037358,0.019754,0.186047,0.319035
vix_percentile_1y,0.01728,0.03056,0.09984,0.024517,0.041797,0.171188,0.271028
nasdaq_return_3m,0.016507,0.113947,-0.084192,0.028477,0.044984,0.285456,0.201264
m2sl_value,0.016091,0.086891,-0.063278,0.04644,0.062531,0.191964,0.128686
t10y2y_value_change_1m,0.015137,0.085583,0.049082,0.019759,0.034896,0.224215,0.273297
vix_return_1m,0.01351,0.063369,0.030062,0.024142,0.037652,0.225314,0.255376
sp500_return_3m,0.013491,0.115158,-0.106782,0.030904,0.044395,0.314363,0.207581
vix_close_change_1m,0.012442,0.0556,0.024672,0.026429,0.038871,0.233393,0.258065
cpiaucsl_value,0.011652,0.08076,-0.02935,0.052698,0.06435,0.158036,0.128686
nasdaq_return_1m,-0.011047,-0.043512,-0.023319,0.043032,0.031985,0.227803,0.204484
gdpc1_value,0.01075,0.0558,-0.059707,0.0528,0.06355,0.188393,0.128686
