feature,target,n,pearson,spearman,abs_pearson,abs_spearman
dfii10_value,target_gold_return_next_3m,5537,0.389084,0.391382,0.389084,0.391382
payems_value_change_3m,target_gold_return_next_3m,5474,-0.174645,-0.335045,0.174645,0.335045
dfii10_value,target_good_entry_3m,5537,0.287116,0.298356,0.287116,0.298356
payems_value_change_3m,target_good_entry_3m,5474,-0.167112,-0.282473,0.167112,0.282473
fedfunds_value,target_gold_return_next_3m,5537,0.307454,0.277984,0.307454,0.277984
dfii10_value,target_gold_max_drawdown_next_3m,5599,0.189571,0.236235,0.189571,0.236235
payems_value_change_1m,target_gold_return_next_3m,5516,-0.05885,-0.228659,0.05885,0.228659
fedfunds_value,target_good_entry_3m,5537,0.236786,0.220819,0.236786,0.220819
dfii10_value,target_gold_return_next_1m,5579,0.20009,0.220294,0.20009,0.220294
fedfunds_value,target_gold_max_drawdown_next_3m,5599,0.189587,0.204107,0.189587,0.204107
dfii10_value,target_bad_entry_3m,5599,-0.191789,-0.204035,0.191789,0.204035
payems_value_change_1m,target_good_entry_3m,5516,-0.05765,-0.199813,0.05765,0.199813
payems_value_change_3m,target_gold_return_next_1m,5516,-0.057181,-0.199231,0.057181,0.199231
fedfunds_value,target_bad_entry_3m,5599,-0.19753,-0.196546,0.19753,0.196546
rrpontsyd_value_change_3m,target_gold_return_next_3m,5473,-0.161854,-0.175982,0.161854,0.175982
payems_value_change_3m,target_gold_max_drawdown_next_3m,5536,-0.053331,-0.175041,0.053331,0.175041
t10y2y_value,target_bad_entry_3m,5599,0.156187,0.170824,0.156187,0.170824
fedfunds_value_change_3m,target_gold_return_next_3m,5474,-0.126676,-0.16265,0.126676,0.16265
t10y2y_value,target_gold_return_next_3m,5537,-0.13633,-0.161576,0.13633,0.161576
t10y2y_value,target_gold_max_drawdown_next_3m,5599,-0.158042,-0.161099,0.158042,0.161099
rrpontsyd_value_change_3m,target_gold_max_drawdown_next_3m,5535,-0.090222,-0.159205,0.090222,0.159205
fedfunds_value_change_3m,target_good_entry_3m,5474,-0.094933,-0.152895,0.094933,0.152895
rrpontsyd_value_change_3m,target_bad_entry_3m,5535,0.09013,0.152525,0.09013,0.152525
