date,tonnes,million_troy_ounces
2004-01-01,3024.6599508105,97.245003
2004-02-01,3024.6599508105,97.245003
2004-03-01,3024.6599508105,97.245003
2004-04-01,3024.6599508105,97.245003
2004-05-01,3024.6599508105,97.245003
2004-06-01,3024.6599508105,97.245003
2004-07-01,3024.6599508105,97.245003
2004-08-01,3024.6599508105,97.245003
2004-09-01,3024.037725293,97.224998
2004-10-01,3016.5729786035,96.985001
2004-11-01,2993.400777793,96.239998
2004-12-01,2985.3140233105,95.980003
2005-01-01,2977.7868518965,95.737999
2005-02-01,2969.420103707,95.469002
2005-03-01,2958.191740207,95.108002
2005-04-01,2945.190477207,94.690002
2005-05-01,2930.416128086,94.214996
2005-06-01,2898.6285066034998,93.193001
2005-07-01,2892.6255,93
2005-08-01,2892.6255,93
2005-09-01,2889.484108707,92.899002
2005-10-01,2856.794268,91.848
2005-11-01,2841.8022876894997,91.365997
2005-12-01,2825.8150886895,90.851997
2006-01-01,2820.4964835,90.681
2006-02-01,2808.5837496895,90.297997
2006-03-01,2802.1455118105,90.091003
2006-04-01,2790.9482518105,89.731003
2006-05-01,2782.7369278105,89.467003
2006-06-01,2776.0806232930004,89.252998
2006-07-01,2767.993651086,88.992996
2006-08-01,2763.1726396895,88.837997
2006-09-01,2757.6051131895,88.658997
2006-10-01,2748.025266293,88.350998
2006-11-01,2726.9370621895,87.672997
2006-12-01,2719.7833816035,87.443001
2007-01-01,2709.6124126894997,87.115997
2007-02-01,2695.6781068964997,86.667999
2007-03-01,2688.928554086,86.450996
2007-04-01,2680.623981793,86.183998
2007-05-01,2675.0875276895,86.005997
2007-06-01,2667.125125,85.75
2007-07-01,2658.3851037070003,85.469002
2007-08-01,2650.4224521895003,85.212997
2007-09-01,2642.5533288965,84.959999
2007-10-01,2622.3360227929998,84.309998
2007-11-01,2610.4545791035,83.928001
2007-12-01,2603.083080707,83.691002
2008-01-01,2586.9713121894997,83.172997
2008-02-01,2575.3698933105,82.800003
2008-03-01,2568.3714191895,82.574997
2008-04-01,2562.3373401894996,82.380997
2008-05-01,2556.9876315,82.209
2008-06-01,2549.3671806895004,81.963997
2008-07-01,2540.969329,81.694
2008-08-01,2535.7750445,81.527
2008-09-01,2527.5637205000003,81.263
2008-10-01,2508.808434414,80.660004
2008-11-01,2507.5331598105004,80.619003
2008-12-01,2492.1679375,80.125
2009-01-01,2487.1601806895,79.963997
2009-02-01,2463.6771315,79.209
2009-03-01,2452.7909376035004,78.859001
2009-04-01,2450.7691478965,78.793999
2009-05-01,2448.4986546035,78.721001
2009-06-01,2445.5748633965,78.626999
2009-07-01,2445.108342,78.612
2009-08-01,2444.5796136035,78.595001
2009-09-01,2435.4352468105,78.301003
2009-10-01,2435.4352468105,78.301003
2009-11-01,2435.4352468105,78.301003
2009-12-01,2435.4352468105,78.301003
2010-01-01,2435.4352468105,78.301003
2010-02-01,2435.4352468105,78.301003
2010-03-01,2435.4352468105,78.301003
2010-04-01,2435.4352468105,78.301003
2010-05-01,2435.4352468105,78.301003
2010-06-01,2435.4352468105,78.301003
2010-07-01,2435.4352468105,78.301003
2010-08-01,2435.4352468105,78.301003
2010-09-01,2435.4352468105,78.301003
2010-10-01,2435.4352468105,78.301003
2010-11-01,2435.4352468105,78.301003
2010-12-01,2435.4352468105,78.301003
2011-01-01,2435.4352468105,78.301003
2011-02-01,2435.4352468105,78.301003
2011-03-01,2435.4352468105,78.301003
2011-04-01,2435.4352468105,78.301003
2011-05-01,2435.4352468105,78.301003
2011-06-01,2435.4352468105,78.301003
2011-07-01,2435.4352468105,78.301003
2011-08-01,2435.4352468105,78.301003
2011-09-01,2435.4352468105,78.301003
2011-10-01,2435.4352468105,78.301003
2011-11-01,2435.4352468105,78.301003
2011-12-01,2435.4352468105,78.301003
2012-01-01,2435.4352468105,78.301003
2012-02-01,2435.4352468105,78.301003
2012-03-01,2435.4352468105,78.301003
2012-04-01,2435.4352468105,78.301003
2012-05-01,2435.4352468105,78.301003
2012-06-01,2435.4352468105,78.301003
2012-07-01,2435.4352468105,78.301003
2012-08-01,2435.4352468105,78.301003
2012-09-01,2435.4352468105,78.301003
2012-10-01,2435.4352468105,78.301003
2012-11-01,2435.4352468105,78.301003
2012-12-01,2435.4041433105003,78.300003
2013-01-01,2435.4041433105003,78.300003
2013-02-01,2435.4352468105,78.301003
2013-03-01,2435.4352468105,78.301003
2013-04-01,2435.4041433105003,78.300003
2013-05-01,2435.4041433105003,78.300003
2013-06-01,2435.4041433105003,78.300003
