date,tonnes,million_troy_ounces
2004-01-01,777.463086,24.996
2004-02-01,777.463086,24.996
2004-03-01,777.463086,24.996
2004-04-01,777.463086,24.996
2004-05-01,777.463086,24.996
2004-06-01,777.463086,24.996
2004-07-01,777.463086,24.996
2004-08-01,777.463086,24.996
2004-09-01,777.463086,24.996
2004-10-01,777.463086,24.996
2004-11-01,777.463086,24.996
2004-12-01,777.463086,24.996
2005-01-01,767.509966,24.676
2005-02-01,743.99572,23.92
2005-03-01,722.4409945,23.227
2005-04-01,722.4409945,23.227
2005-05-01,722.4409945,23.227
2005-06-01,722.4409945,23.227
2005-07-01,722.4409945,23.227
2005-08-01,722.4409945,23.227
2005-09-01,722.4409945,23.227
2005-10-01,716.9045715,23.049
2005-11-01,701.9126845000001,22.567
2005-12-01,694.9455005,22.343
2006-01-01,694.9455005,22.343
2006-02-01,684.463621,22.006
2006-03-01,656.719299,21.114
2006-04-01,654.9463995,21.057
2006-05-01,654.9463995,21.057
2006-06-01,654.9463995,21.057
2006-07-01,654.9463995,21.057
2006-08-01,654.9463995,21.057
2006-09-01,654.9463995,21.057
2006-10-01,653.9510875,21.025
2006-11-01,645.9885603965,20.768999
2006-12-01,640.9498245,20.607
2007-01-01,640.9498245,20.607
2007-02-01,640.9498245,20.607
2007-03-01,640.9498245,20.607
2007-04-01,640.9498245,20.607
2007-05-01,640.9498245,20.607
2007-06-01,640.9498245,20.607
2007-07-01,640.9498245,20.607
2007-08-01,640.9498245,20.607
2007-09-01,640.9498245,20.607
2007-10-01,624.4649695,20.077
2007-11-01,621.9455859999999,19.996
2007-12-01,621.44793,19.98
2008-01-01,621.44793,19.98
2008-02-01,621.44793,19.98
2008-03-01,621.44793,19.98
2008-04-01,621.44793,19.98
2008-05-01,621.44793,19.98
2008-06-01,621.44793,19.98
2008-07-01,621.44793,19.98
2008-08-01,621.44793,19.98
2008-09-01,621.44793,19.98
2008-10-01,621.44793,19.98
2008-11-01,613.4543305,19.723
2008-12-01,612.4590185,19.691
2009-01-01,612.4590185,19.691
2009-02-01,612.4590185,19.691
2009-03-01,612.4590185,19.691
2009-04-01,612.4590185,19.691
2009-05-01,612.4590185,19.691
2009-06-01,612.4590185,19.691
2009-07-01,612.4590185,19.691
2009-08-01,612.4590185,19.691
2009-09-01,612.4590185,19.691
2009-10-01,612.4590185,19.691
2009-11-01,612.4590185,19.691
2009-12-01,612.4590185,19.691
2010-01-01,612.4590185,19.691
2010-02-01,612.4590185,19.691
2010-03-01,612.4590185,19.691
2010-04-01,612.4590185,19.691
2010-05-01,612.4590185,19.691
2010-06-01,612.4590185,19.691
2010-07-01,612.4590185,19.691
2010-08-01,612.4590185,19.691
2010-09-01,612.4590185,19.691
2010-10-01,612.4590185,19.691
2010-11-01,612.4590185,19.691
2010-12-01,612.4590185,19.691
2011-01-01,612.4590185,19.691
2011-02-01,612.4590185,19.691
2011-03-01,612.4590185,19.691
2011-04-01,612.4590185,19.691
2011-05-01,612.4590185,19.691
2011-06-01,612.4590185,19.691
2011-07-01,612.4590185,19.691
2011-08-01,612.4590185,19.691
2011-09-01,612.4590185,19.691
2011-10-01,612.4590185,19.691
2011-11-01,612.4590185,19.691
2011-12-01,612.4590185,19.691
2012-01-01,612.4590185,19.691
2012-02-01,612.4590185,19.691
2012-03-01,612.4590185,19.691
2012-04-01,612.4590185,19.691
2012-05-01,612.4590185,19.691
2012-06-01,612.4590185,19.691
2012-07-01,612.4590185,19.691
2012-08-01,612.4590185,19.691
2012-09-01,612.4590185,19.691
2012-10-01,612.4590185,19.691
2012-11-01,612.4590185,19.691
2012-12-01,612.4590185,19.691
2013-01-01,612.4590185,19.691
2013-02-01,612.4590185,19.691
2013-03-01,612.4590185,19.691
2013-04-01,612.4590185,19.691
2013-05-01,612.4590185,19.691
2013-06-01,612.4590185,19.691
2013-07-01,612.4590185,19.691
2013-08-01,612.4590185,19.691
2013-09-01,612.4590185,19.691
2013-10-01,612.4590185,19.691
2013-11-01,612.4590185,19.691
2013-12-01,612.4590185,19.691
2014-01-01,612.4590185,19.691
2014-02-01,612.4590185,19.691
2014-03-01,612.4590185,19.691
2014-04-01,612.4590185,19.691
2014-05-01,612.4590185,19.691
2014-06-01,612.4590185,19.691
2014-07-01,612.4590185,19.691
2014-08-01,612.4590185,19.691
2014-09-01,612.4590185,19.691
2014-10-01,612.4590185,19.691
2014-11-01,612.4590185,19.691
2014-12-01,612.4590185,19.691
2015-01-01,612.4590185,19.691
2015-02-01,612.4590185,19.691
2015-03-01,612.4590185,19.691
2015-04-01,612.4590185,19.691
