date,tonnes,million_troy_ounces
2004-01-01,102.890378,3.308
2004-02-01,102.890378,3.308
2004-03-01,102.890378,3.308
2004-04-01,102.890378,3.308
2004-05-01,102.890378,3.308
2004-06-01,102.890378,3.308
2004-07-01,102.890378,3.308
2004-08-01,102.890378,3.308
2004-09-01,102.890378,3.308
2004-10-01,102.890378,3.308
2004-11-01,102.890378,3.308
2004-12-01,102.890378,3.308
2005-01-01,102.890378,3.308
2005-02-01,102.890378,3.308
2005-03-01,102.890378,3.308
2005-04-01,102.890378,3.308
2005-05-01,102.890378,3.308
2005-06-01,102.890378,3.308
2005-07-01,102.890378,3.308
2005-08-01,102.890378,3.308
2005-09-01,102.890378,3.308
2005-10-01,102.890378,3.308
2005-11-01,102.890378,3.308
2005-12-01,102.890378,3.308
2006-01-01,102.890378,3.308
2006-02-01,102.890378,3.308
2006-03-01,102.890378,3.308
2006-04-01,102.890378,3.308
2006-05-01,102.890378,3.308
2006-06-01,102.890378,3.308
2006-07-01,102.890378,3.308
2006-08-01,102.890378,3.308
2006-09-01,102.890378,3.308
2006-10-01,102.890378,3.308
2006-11-01,102.890378,3.308
2006-12-01,102.890378,3.308
2007-01-01,102.890378,3.308
2007-02-01,102.890378,3.308
2007-03-01,102.890378,3.308
2007-04-01,102.890378,3.308
2007-05-01,102.890378,3.308
2007-06-01,102.890378,3.308
2007-07-01,102.890378,3.308
2007-08-01,102.890378,3.308
2007-09-01,102.890378,3.308
2007-10-01,102.890378,3.308
2007-11-01,102.890378,3.308
2007-12-01,102.890378,3.308
2008-01-01,102.890378,3.308
2008-02-01,102.890378,3.308
2008-03-01,102.890378,3.308
2008-04-01,102.890378,3.308
2008-05-01,102.890378,3.308
2008-06-01,102.92148150000001,3.309
2008-07-01,102.92148150000001,3.309
2008-08-01,102.92148150000001,3.309
2008-09-01,102.92148150000001,3.309
2008-10-01,102.92148150000001,3.309
2008-11-01,102.92148150000001,3.309
2008-12-01,102.92148150000001,3.309
2009-01-01,102.92148150000001,3.309
2009-02-01,102.92148150000001,3.309
2009-03-01,102.92148150000001,3.309
2009-04-01,102.92148150000001,3.309
2009-05-01,102.92148150000001,3.309
2009-06-01,102.92148150000001,3.309
2009-07-01,102.92148150000001,3.309
2009-08-01,102.92148150000001,3.309
2009-09-01,102.91342908378151,3.308741109
2009-10-01,102.91342908378151,3.308741109
2009-11-01,102.91342908378151,3.308741109
2009-12-01,102.91342908378151,3.308741109
2010-01-01,102.9187874081405,3.308913383
2010-02-01,102.9187874081405,3.308913383
2010-03-01,102.9187874081405,3.308913383
2010-04-01,102.9187874081405,3.308913383
2010-05-01,102.9187874081405,3.308913383
2010-06-01,102.9187874081405,3.308913383
2010-07-01,102.9187874081405,3.308913383
2010-08-01,102.9187874081405,3.308913383
2010-09-01,102.9187874081405,3.308913383
2010-10-01,102.91880128030151,3.308913829
2010-11-01,102.91880128030151,3.308913829
2010-12-01,102.91880128030151,3.308913829
2011-01-01,102.91880128030151,3.308913829
2011-02-01,102.91880128030151,3.308913829
2011-03-01,102.91880128030151,3.308913829
2011-04-01,102.91880128030151,3.308913829
2011-05-01,102.91880128030151,3.308913829
2011-06-01,102.91880128030151,3.308913829
2011-07-01,102.91880128030151,3.308913829
2011-08-01,102.91880128030151,3.308913829
2011-09-01,102.91880128030151,3.308913829
2011-10-01,102.91880128030151,3.308913829
2011-11-01,102.91880128030151,3.308913829
2011-12-01,102.91880128030151,3.308913829
2012-01-01,102.91880128030151,3.308913829
2012-02-01,102.91880128030151,3.308913829
2012-03-01,102.91880128030151,3.308913829
2012-04-01,102.91880128030151,3.308913829
2012-05-01,102.91880128030151,3.308913829
2012-06-01,102.91880128030151,3.308913829
2012-07-01,102.91880128030151,3.308913829
2012-08-01,102.91880128030151,3.308913829
2012-09-01,102.91880128030151,3.308913829
2012-10-01,102.91880128030151,3.308913829
2012-11-01,102.91880128030151,3.308913829
2012-12-01,102.91880128030151,3.308913829
2013-01-01,102.91880128030151,3.308913829
2013-02-01,102.91880128030151,3.308913829
2013-03-01,102.91880128030151,3.308913829
2013-04-01,102.91880128030151,3.308913829
2013-05-01,102.91880128030151,3.308913829
2013-06-01,102.91880128030151,3.308913829
2013-07-01,102.91880128030151,3.308913829
2013-08-01,102.91880128030151,3.308913829
2013-09-01,102.91880128030151,3.308913829
2013-10-01,102.91880128030151,3.308913829
2013-11-01,102.91880128030151,3.308913829
2013-12-01,102.91880128030151,3.308913829
2014-01-01,102.91880128030151,3.308913829
2014-02-01,102.91880128030151,3.308913829
2014-03-01,102.9187991652635,3.308913761
2014-04-01,102.91922030665351,3.308927301
2014-05-01,102.91922030665351,3.308927301
2014-06-01,102.91922030665351,3.308927301
2014-07-01,102.91922030665351,3.308927301
2014-08-01,102.91922030665351,3.308927301
2014-09-01,102.916558313606,3.308841716
2014-10-01,102.92754232800999,3.30919486
2014-11-01,102.92754232800999,3.30919486
2014-12-01,102.92754232800999,3.30919486
2015-01-01,102.927875508702,3.309205572
2015-02-01,102.9232941186695,3.309058277
2015-03-01,102.92333707260299,3.309059658
2015-04-01,102.92342777040899,3.309062574
2015-05-01,102.9208424163855,3.308979453
2015-06-01,102.9208424163855,3.308979453
2015-07-01,102.920899740136,3.308981296
2015-08-01,102.9257803458385,3.309138211
2015-09-01,102.9257803458385,3.309138211
2015-10-01,102.9269361518985,3.309175371
2015-11-01,102.92945892568001,3.30925648
2015-12-01,102.92945892568001,3.30925648
2016-01-01,102.929469687491,3.309256826
2016-02-01,102.9295276955185,3.309258691
2016-03-01,102.9409529441735,3.309626021
2016-04-01,102.9409538772785,3.309626051
2016-05-01,102.9409538772785,3.309626051
2016-06-01,102.94450916284599,3.309740356
2016-07-01,102.94481114672749,3.309750065
2016-08-01,102.94481347949,3.30975014
2016-09-01,102.94481478583701,3.309750182
2016-10-01,102.94504647580851,3.309757631
2016-11-01,102.954949114828,3.310076008
2016-12-01,102.96145114598549,3.310285053
2017-01-01,102.965890393023,3.310427778
2017-02-01,102.96591222768001,3.31042848
2017-03-01,102.96591966141649,3.310428719
2017-04-01,102.967391821175,3.31047605
2017-05-01,102.967435490489,3.310477454
2017-06-01,102.96744799409599,3.310477856
2017-07-01,102.9682653007655,3.310504133
2017-08-01,102.9683270101095,3.310506117
2017-09-01,102.96833068032251,3.310506235
2017-10-01,102.96835270160051,3.310506943
2017-11-01,102.9694095363235,3.310540921
2017-12-01,102.969426736559,3.310541474
2018-01-01,102.97087491551899,3.310588034
2018-02-01,102.9708750710365,3.310588039
2018-03-01,102.9709638404255,3.310590893
2018-04-01,102.967676542614,3.310485204
2018-05-01,102.9676766981315,3.310485209
2018-06-01,102.967677102477,3.310485222
2018-07-01,104.83388710247701,3.370485222
2018-08-01,112.30319163666,3.61062876
2018-09-01,116.657681698867,3.750628762
2018-10-01,128.6331104299715,4.135647449
2018-11-01,128.6316346,4.1356
2018-12-01,128.63474495,4.1357
2019-01-01,128.634441317633,4.135690238
2019-02-01,128.6341388360955,4.135680513
2019-03-01,128.63613278817,4.13574462
2019-04-01,128.645629433204,4.136049944
2019-05-01,133.3097746508405,4.286005583
2019-06-01,228.182600625422,7.336235492
2019-07-01,228.649153125422,7.351235492
2019-08-01,228.649153125422,7.351235492
2019-09-01,228.6491573243945,7.351235627
2019-10-01,228.6491573243945,7.351235627
2019-11-01,228.6491573243945,7.351235627
2019-12-01,228.649156111358,7.351235588
2020-01-01,228.649156111358,7.351235588
2020-02-01,228.64910786982952,7.351234037
2020-03-01,228.64910786982952,7.351234037
2020-04-01,228.6491197513665,7.351234419
2020-05-01,228.65283602865,7.3513539
2020-06-01,228.65283602865,7.3513539
2020-07-01,228.6528352510625,7.351353875
2020-08-01,228.6613033033515,7.351626129
2020-09-01,228.6613033033515,7.351626129
2020-10-01,228.6613033033515,7.351626129
2020-11-01,228.6613033033515,7.351626129
2020-12-01,228.66507519369299,7.351747398
2021-01-01,228.66507519369299,7.351747398
2021-02-01,228.66507519369299,7.351747398
2021-03-01,228.6650994233195,7.351748177
2021-04-01,228.6651185208685,7.351748791
2021-05-01,230.5313285208685,7.411748791
2021-06-01,231.77546852086851,7.451748791
2021-07-01,229.90925852086852,7.391748791
2021-08-01,230.2202935208685,7.401748791
2021-09-01,231.77546852086851,7.451748791
2021-10-01,228.9761535208685,7.361748791
2021-11-01,232.3975385208685,7.471748791
2021-12-01,230.8423635208685,7.421748791
2022-01-01,228.6651185208685,7.351748791
2022-02-01,228.6651185208685,7.351748791
2022-03-01,228.66512020045752,7.351748845
2022-04-01,228.66512020045752,7.351748845
2022-05-01,228.66863234547048,7.351861763
2022-06-01,228.66863234547048,7.351861763
2022-07-01,228.66863234547048,7.351861763
2022-08-01,228.66863234547048,7.351861763
2022-09-01,228.6686525627455,7.351862413
2022-10-01,228.6686525627455,7.351862413
2022-11-01,228.668660991794,7.351862684
2022-12-01,228.668671629191,7.351863026
2023-01-01,228.6711029586825,7.351941195
2023-02-01,228.67111365828652,7.351941539
2023-03-01,228.671120034504,7.351941744
2023-04-01,243.48042270894098,7.828071526
2023-05-01,263.3926588105675,8.468264305
2023-06-01,277.07850642418254,8.908274195
2023-07-01,299.4653864714775,9.628028565
2023-08-01,314.391920881212,10.107927432
2023-09-01,333.7134730270325,10.729129295
2023-10-01,339.949822721954,10.929632444
2023-11-01,358.6969805614025,11.532367115
2023-12-01,358.6969805614025,11.532367115
2024-01-01,358.69704852255,11.5323693
2024-02-01,358.697200245423,11.532374178
2024-03-01,358.6972051908795,11.532374337
2024-04-01,363.3627301908795,11.682374337
2024-05-01,373.64243694087946,12.012874337
2024-06-01,377.3748569408795,12.132874337
2024-07-01,391.6919569297645,12.593179447
2024-08-01,397.932951621376,12.793831936
2024-09-01,419.70608913314004,13.49385404
2024-10-01,427.1866929156995,13.734360857
2024-11-01,448.2359489676715,14.411109649
2024-12-01,448.2359489676715,14.411109649
2025-01-01,451.34633629187147,14.511110849
2025-02-01,480.3351305394585,15.443121531
2025-03-01,496.812906165134,15.972893924
2025-04-01,509.26216390454596,16.373146556
2025-05-01,515.477448536368,16.572972448
2025-06-01,515.477584147628,16.572976808
