date,tonnes,million_troy_ounces
2004-01-01,390.1934075,12.545
2004-02-01,389.789062,12.532
2004-03-01,389.789062,12.532
2004-04-01,389.789062,12.532
2004-05-01,390.100097,12.542
2004-06-01,390.100097,12.542
2004-07-01,389.0736815,12.509
2004-08-01,389.166992,12.512
2004-09-01,389.166992,12.512
2004-10-01,386.77202250000005,12.435
2004-11-01,386.865333,12.438
2004-12-01,386.95864350000005,12.441
2005-01-01,386.5231945,12.427
2005-02-01,386.3987805,12.423
2005-03-01,386.678712,12.432
2005-04-01,386.8342295,12.437
2005-05-01,386.8342295,12.437
2005-06-01,394.23686250000003,12.675
2005-07-01,386.5854015,12.429
2005-08-01,386.5854015,12.429
2005-09-01,386.678712,12.432
2005-10-01,386.678712,12.432
2005-11-01,386.678712,12.432
2005-12-01,386.865333,12.438
2006-01-01,386.616505,12.43
2006-02-01,386.554298,12.428
2006-03-01,386.5231945,12.427
2006-04-01,386.5231945,12.427
2006-05-01,386.5231945,12.427
2006-06-01,386.5231945,12.427
2006-07-01,385.46567550000003,12.393
2006-08-01,386.118849,12.414
2006-09-01,389.166992,12.512
2006-10-01,394.143552,12.672
2006-11-01,395.3565885,12.711
2006-12-01,401.483978,12.908
2007-01-01,402.790325,12.95
2007-02-01,400.2709415,12.869
2007-03-01,400.2709415,12.869
2007-04-01,401.73280600000004,12.916
2007-05-01,402.665911,12.946
2007-06-01,406.9270905,13.083
2007-07-01,407.45585,13.1
2007-08-01,418.217661,13.446
2007-09-01,428.54402300000004,13.778
2007-10-01,438.2172115,14.089
2007-11-01,445.837569,14.334
2007-12-01,450.3475765,14.479
2008-01-01,450.87633600000004,14.496
2008-02-01,451.2184745,14.507
2008-03-01,457.0037255,14.693
2008-04-01,457.8746235,14.721
2008-05-01,459.4297985,14.771
2008-06-01,462.9755975,14.885
2008-07-01,472.5554755,15.193
2008-08-01,486.6764645,15.647
2008-09-01,495.8831005,15.943
2008-10-01,506.89373950000004,16.297
2008-11-01,510.00408949999996,16.397
2008-12-01,519.5839675,16.705
2009-01-01,523.720733,16.838
2009-02-01,525.089287,16.882
2009-03-01,531.86985,17.1
2009-04-01,536.8775135,17.261
2009-05-01,540.454416,17.376
2009-06-01,550.1276045000001,17.687
2009-07-01,568.447566,18.276
2009-08-01,578.089651,18.586
2009-09-01,591.0598105,19.003
2009-10-01,607.6690795,19.537
2009-11-01,613.7653655,19.733
2009-12-01,649.0367345000001,20.867
2010-01-01,653.6089489999999,21.014
2010-02-01,657.8701285,21.151
2010-03-01,676.0345725,21.735
2010-04-01,680.6378905,21.883
2010-05-01,703.0946175,22.605
2010-06-01,709.8129735000001,22.821
2010-07-01,726.017897,23.342
2010-08-01,735.28674,23.64
2010-09-01,756.001671,24.306
2010-10-01,775.161427,24.922
2010-11-01,784.119235,25.21
2010-12-01,788.6292425,25.355
2011-01-01,789.220209,25.374
2011-02-01,792.2994555,25.473
2011-03-01,811.117073,26.078
2011-04-01,824.8337164999999,26.519
2011-05-01,830.8677955,26.713
2011-06-01,836.7152535,26.901
2011-07-01,841.1319505,27.043
2011-08-01,844.8021635,27.161
2011-09-01,851.5516230000001,27.378
2011-10-01,871.0535175,28.005
2011-11-01,873.572901,28.086
2011-12-01,882.9661580000001,28.388
2012-01-01,882.9661580000001,28.388
2012-02-01,879.2026345,28.267
2012-03-01,895.7496965,28.799
2012-04-01,895.843007,28.802
2012-05-01,911.3325500000001,29.3
2012-06-01,918.0509059999999,29.516
2012-07-01,936.6196955,30.113
2012-08-01,936.713006,30.116
2012-09-01,934.535761,30.046
2012-10-01,934.9401065000001,30.059
2012-11-01,937.8016285,30.151
2012-12-01,957.7700755,30.793
2013-01-01,969.931544,31.184
2013-02-01,976.9298315,31.409
2013-03-01,981.62646,31.56
2013-04-01,989.9933015,31.829
2013-05-01,996.1517945,32.027
2013-06-01,996.431726,32.036
2013-07-01,1002.7768400000001,32.24
2013-08-01,1015.4981715,32.649
2013-09-01,1015.1249295,32.637
2013-10-01,1015.156033,32.638
2013-11-01,1015.0938260000001,32.636
2013-12-01,1035.2177905,33.283
2014-01-01,1034.6890309999999,33.266
2014-02-01,1041.9361465000002,33.499
2014-03-01,1040.7231100000001,33.46
2014-04-01,1068.405225,34.35
2014-05-01,1077.9225879599994,34.6559900962914
2014-06-01,1094.738507109999,35.1966340479367
2014-07-01,1105.3074715499995,35.5364338916842
2014-08-01,1112.5393527300005,35.7689440972881
2014-09-01,1149.7860451300012,36.9664521719421
2014-10-01,1168.7140125,37.575
2014-11-01,1187.4667128199983,38.1779128657546
2014-12-01,1208.19857014,38.8444570591734
2015-01-01,1207.7201859600007,38.829076662112
2015-02-01,1207.7317400799986,38.8294481354188
2015-03-01,1238.2645488500002,39.8111
2015-04-01,1246.5971765,40.079
2015-05-01,1250.9205630000001,40.218
2015-06-01,1275.0586857399992,40.9940580879965
2015-07-01,1288.182556,41.416
2015-08-01,1317.730881,42.366
2015-09-01,1352.2246625,43.475
2015-10-01,1370.6379345,44.067
2015-11-01,1392.939144,44.784
2015-12-01,1414.5560765,45.479
2016-01-01,1435.9552845,46.167
2016-02-01,1447.0281305,46.523
2016-03-01,1460.4026355,46.953
2016-04-01,1476.6386625,47.475
2016-05-01,1481.459705,47.63
2016-06-01,1498.753251,48.186
2016-07-01,1506.0314700000001,48.42
2016-08-01,1526.124331,49.066
2016-09-01,1542.671393,49.598
2016-10-01,1583.0748395,50.897
2016-11-01,1615.204755,51.93
2016-12-01,1615.2358585,51.931
2017-01-01,1645.1574255,52.893
2017-02-01,1655.4526839999999,53.224
2017-03-01,1680.1177595000001,54.017
2017-04-01,1687.302668,54.248
2017-05-01,1706.773459,54.874
2017-06-01,1715.855681,55.166
2017-07-01,1729.4479105,55.603
2017-08-01,1744.3153835,56.081
2017-09-01,1778.871372,57.192
2017-10-01,1801.203685,57.91
2017-11-01,1828.574765,58.79
2017-12-01,1838.7767130000002,59.118
2018-01-01,1857.687641,59.726
2018-02-01,1880.4865065000001,60.459
2018-03-01,1890.8128685,60.791
2018-04-01,1909.7860035,61.401
2018-05-01,1928.230379,61.994
2018-06-01,1944.0309570000002,62.502
2018-07-01,1970.1267935,63.341
2018-08-01,1998.4931855,64.253
2018-09-01,2036.2528345,65.467
2018-10-01,2066.1744015,66.429
2018-11-01,2102.721014,67.604
2018-12-01,2113.0473760000004,67.936
2019-01-01,2119.268076,68.136
2019-02-01,2148.878608,69.088
2019-03-01,2168.3182954999997,69.713
