date,tonnes,million_troy_ounces
2004-01-01,8134.687227893401,261.5360724
2004-02-01,8136.330626944734,261.588908867
2004-03-01,8136.330626944734,261.588908867
2004-04-01,8136.412453130532,261.591539638
2004-05-01,8136.444265510401,261.592562429
2004-06-01,8136.067606199961,261.58045256
2004-07-01,8135.520672769393,261.562868255
2004-08-01,8135.165389930293,261.551445655
2004-09-01,8135.0957166906355,261.54920561
2004-10-01,8135.165338454,261.551444
2004-11-01,8135.165338454,261.551444
2004-12-01,8136.249901014145,261.58631347
2005-01-01,8134.395770680439,261.52670184
2005-02-01,8133.85819209405,261.5094183
2005-03-01,8133.592596352717,261.500879205
2005-04-01,8133.7659030329905,261.50645114
2005-05-01,8133.590941491,261.500826
2005-06-01,8133.555225030915,261.49967769
2005-07-01,8133.57017990475,261.5001585
2005-08-01,8133.554993931911,261.49967026
2005-09-01,8133.53101499962,261.49889932
2005-10-01,8133.25208627646,261.48993156
2005-11-01,8133.50910756043,261.49819498
2005-12-01,8135.13715059609,261.55053774
2006-01-01,8135.764461224805,261.57070623
2006-02-01,8135.542901663255,261.56358293
2006-03-01,8135.047647475525,261.54766015
2006-04-01,8133.53101499962,261.49889932
2006-05-01,8133.53101499962,261.49889932
2006-06-01,8133.53101499962,261.49889932
2006-07-01,8133.53101499962,261.49889932
2006-08-01,8133.53101499962,261.49889932
2006-09-01,8133.53101499962,261.49889932
2006-10-01,8133.53101499962,261.49889932
2006-11-01,8133.53101499962,261.49889932
2006-12-01,8133.53101499962,261.49889932
2007-01-01,8133.53101499962,261.49889932
2007-02-01,8133.53101499962,261.49889932
2007-03-01,8133.53101499962,261.49889932
2007-04-01,8133.53101499962,261.49889932
2007-05-01,8133.53101499962,261.49889932
2007-06-01,8133.53101499962,261.49889932
2007-07-01,8133.53101499962,261.49889932
2007-08-01,8133.531014875206,261.498899316
2007-09-01,8133.531014875206,261.498899316
2007-10-01,8133.531014875206,261.498899316
2007-11-01,8133.531014875206,261.498899316
2007-12-01,8133.531014875206,261.498899316
2008-01-01,8133.53101499962,261.49889932
2008-02-01,8133.531014875206,261.498899316
2008-03-01,8133.531014875206,261.498899316
2008-04-01,8133.531014875206,261.498899316
2008-05-01,8133.53101499962,261.49889932
2008-06-01,8133.53101499962,261.49889932
2008-07-01,8133.53101499962,261.49889932
2008-08-01,8133.53101499962,261.49889932
2008-09-01,8133.53101499962,261.49889932
2008-10-01,8133.531014875206,261.498899316
