date,tonnes,million_troy_ounces
2013-01-01,170.136145,5.47
2013-02-01,175.112705,5.63
2013-03-01,180.711335,5.81
2013-04-01,194.396875,6.25
2013-05-01,202.17275,6.5
2013-06-01,209.63759000000002,6.74
2013-07-01,207.14931,6.66
2013-08-01,197.19619,6.34
2013-09-01,206.838275,6.65
2013-10-01,196.57412000000002,6.32
2013-11-01,204.349995,6.57
2013-12-01,217.413465,6.99
2014-01-01,224.56727,7.22
2014-02-01,231.41004,7.44
2014-03-01,228.29969,7.34
2014-04-01,235.76453,7.58
2014-05-01,243.22937000000002,7.82
2014-06-01,250.69421000000003,8.06
2014-07-01,248.20593000000002,7.98
2014-08-01,248.20593000000002,7.98
2014-09-01,262.824575,8.45
2014-10-01,270.28941499999996,8.69
2014-11-01,277.44322,8.92
2014-12-01,274.643905,8.83
2015-01-01,281.79771,9.06
2015-02-01,278.06529,8.94
2015-03-01,275.26597499999997,8.85
2015-04-01,282.730815,9.09
2015-05-01,290.195655,9.33
2015-06-01,297.34946,9.56
2015-07-01,304.8143,9.8
2015-08-01,304.8143,9.8
2015-09-01,309.79086,9.96
2015-10-01,306.991545,9.87
2015-11-01,314.14535,10.1
2015-12-01,311.65707,10.02
2016-01-01,308.857755,9.93
2016-02-01,315.700525,10.15
2016-03-01,323.165365,10.39
2016-04-01,320.05501499999997,10.29
2016-05-01,327.519855,10.53
2016-06-01,334.67366,10.76
2016-07-01,332.18538,10.68
2016-08-01,329.6971,10.6
2016-09-01,336.850905,10.83
2016-10-01,334.362625,10.75
2016-11-01,331.56331,10.66
2016-12-01,328.763995,10.57
2017-01-01,336.228835,10.81
2017-02-01,343.071605,11.03
2017-03-01,340.583325,10.95
2017-04-01,337.78400999999997,10.86
2017-05-01,335.29573,10.78
2017-06-01,342.449535,11.01
2017-07-01,339.961255,10.93
2017-08-01,319.74397999999997,10.28
2017-09-01,317.2557,10.2
2017-10-01,321.921225,10.35
2017-11-01,329.386065,10.59
2017-12-01,336.53987,10.82
2018-01-01,324.09847,10.42
2018-02-01,320.98812000000004,10.32
2018-03-01,328.45296,10.56
2018-04-01,329.386065,10.59
2018-05-01,336.850905,10.83
2018-06-01,344.315745,11.07
2018-07-01,351.78058500000003,11.31
2018-08-01,359.245425,11.55
2018-09-01,366.710265,11.79
2018-10-01,374.175105,12.03
2018-11-01,381.32891,12.26
2018-12-01,355.20197,11.42
2019-01-01,342.76057,11.02
2019-02-01,339.6914058815551,10.9213241558524
2019-03-01,347.11506,11.16
2019-04-01,354.890935,11.41
2019-05-01,362.355775,11.65
2019-06-01,350.22541,11.26
2019-07-01,327.83088999999995,10.54
2019-08-01,325.65364500000004,10.47
2019-09-01,332.18538,10.68
2019-10-01,338.71711500000004,10.89
2019-11-01,338.40608000000003,10.88
2019-12-01,335.9178,10.8
2020-01-01,333.74055500000003,10.73
2020-02-01,330.63020500000005,10.63
2020-03-01,338.09504499999997,10.87
2020-04-01,335.9178,10.8
2020-05-01,342.76057,11.02
2020-06-01,342.200707,11.002
2020-07-01,330.63020500000005,10.63
2020-08-01,298.904635,9.61
2020-09-01,307.30258000000003,9.88
2020-10-01,315.700525,10.15
2020-11-01,324.09847,10.42
2020-12-01,332.496415,10.69
2021-01-01,340.583325,10.95
2021-02-01,347.73713,11.18
2021-03-01,355.82403999999997,11.44
2021-04-01,364.221985,11.71
2021-05-01,352.71369,11.34
2021-06-01,358.001285,11.51
2021-07-01,366.39923,11.78
2021-08-01,375.10821000000004,12.06
2021-09-01,383.506155,12.33
2021-10-01,375.10821000000004,12.06
2021-11-01,353.646795,11.37
2021-12-01,362.04474000000005,11.64
2022-01-01,360.8006,11.6
2022-02-01,338.71711500000004,10.89
2022-03-01,337.472975,10.85
2022-04-01,346.181955,11.13
2022-05-01,355.20197,11.42
2022-06-01,363.91094999999996,11.7
2022-07-01,372.61993,11.98
2022-08-01,381.32891,12.26
2022-09-01,390.03789,12.54
2022-10-01,398.74687,12.82
2022-11-01,397.191695,12.77
2022-12-01,395.947555,12.73
2023-01-01,384.43926,12.36
2023-02-01,392.52617,12.62
2023-03-01,381.32891,12.26
2023-04-01,379.77373500000004,12.21
2023-05-01,368.88750999999996,11.86
2023-06-01,377.285455,12.13
2023-07-01,366.088195,11.77
2023-08-01,374.79717500000004,12.05
2023-09-01,383.81719,12.34
2023-10-01,373.242,12
2023-11-01,362.04474000000005,11.64
2023-12-01,371.37579,11.94
2024-01-01,380.395805,12.23
2024-02-01,368.576475,11.85
2024-03-01,357.69025,11.5
2024-04-01,356.44611000000003,11.46
2024-05-01,355.82403999999997,11.44
2024-06-01,365.15509000000003,11.74
2024-07-01,374.79717500000004,12.05
2024-08-01,374.48614,12.04
2024-09-01,373.86406999999997,12.02
2024-10-01,373.242,12
2024-11-01,382.26201499999996,12.29
2024-12-01,382.57305,12.3
